,age,gender,device,date,sum,count
116,25-34,F,iOS,2014-03-26,31.0,4
117,25-34,F,iOS,2014-03-27,63.0,2
118,25-34,F,iOS,2014-03-28,24.0,3
119,25-34,F,iOS,2014-03-29,97.0,4
120,25-34,F,iOS,2014-03-30,46.0,2
121,25-34,F,iOS,2014-03-31,95.0,3
122,35-44,F,android,2014-03-01,33.0,7
123,35-44,F,android,2014-03-02,49.0,7
124,35-44,F,android,2014-03-03,123.0,8
125,35-44,F,android,2014-03-04,24.0,4
126,35-44,F,android,2014-03-05,11.0,4
127,35-44,F,android,2014-03-06,0.0,4
128,35-44,F,android,2014-03-07,44.0,3
129,35-44,F,android,2014-03-08,27.0,4
130,35-44,F,android,2014-03-09,40.0,3
131,35-44,F,android,2014-03-10,81.0,5
132,35-44,F,android,2014-03-11,53.0,3
133,35-44,F,android,2014-03-12,73.0,6
134,35-44,F,android,2014-03-13,56.0,2
135,35-44,F,android,2014-03-14,48.0,3
136,35-44,F,android,2014-03-15,0.0,2
137,35-44,F,android,2014-03-16,0.0,1
138,35-44,F,android,2014-03-17,83.0,3
139,35-44,F,android,2014-03-18,0.0,3
140,35-44,F,android,2014-03-19,76.0,4
141,35-44,F,android,2014-03-20,0.0,2
142,35-44,F,android,2014-03-21,92.0,2
143,35-44,F,android,2014-03-22,64.0,2
144,35-44,F,android,2014-03-23,63.0,4
145,35-44,F,android,2014-03-24,64.0,1
146,35-44,F,android,2014-03-25,120.0,3
147,35-44,F,android,2014-03-27,155.0,5
148,35-44,F,android,2014-03-28,0.0,1
149,35-44,F,android,2014-03-29,0.0,1
150,35-44,F,android,2014-03-30,0.0,1
151,35-44,F,android,2014-03-31,40.0,1
152,35-44,F,iOS,2014-03-01,24.0,5
153,35-44,F,iOS,2014-03-02,0.0,4
154,35-44,F,iOS,2014-03-03,0.0,3
155,35-44,F,iOS,2014-03-04,137.0,8
156,35-44,F,iOS,2014-03-05,51.0,1
157,35-44,F,iOS,2014-03-06,75.0,4
158,35-44,F,iOS,2014-03-07,108.0,3
159,35-44,F,iOS,2014-03-09,0.0,1
160,35-44,F,iOS,2014-03-11,45.0,2
